,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
7,-88,-67,100,100,-96,-71,100,100,-90,100,100,100,-85,-89,-89,100,-77,-87,100,100,100,100,100,100,-66,35
8,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-79,-78,-88,100,-78,100,100,100,100,100,100,100,-66,35
9,-81,-68,100,100,-94,-69,100,100,-96,100,100,100,-82,-93,-87,100,-77,-86,100,100,100,100,100,100,-66,35
10,-88,-74,100,100,-95,-71,100,100,100,100,100,100,-83,-79,-88,100,-89,100,100,100,100,100,100,100,-66,35
11,-80,-67,100,100,-89,-71,100,100,100,100,100,100,-89,-82,-88,100,-77,100,100,100,100,100,100,100,-62,35
12,-88,-67,100,100,-96,-72,100,100,100,100,100,100,-79,-90,-87,100,-89,-86,100,100,100,100,100,100,-66,35
13,-88,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-89,100,-79,-86,100,100,100,100,100,100,-58,35
14,100,-67,100,100,-88,-71,100,100,-96,100,100,100,-85,-89,-88,100,-77,-86,100,100,100,100,100,100,-62,35
15,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-79,-78,-88,100,-77,-86,100,100,100,100,100,100,-66,35
16,-88,-74,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-88,100,-79,-86,100,100,100,100,100,100,-66,35
17,-88,-67,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-87,100,-78,-87,100,100,100,100,100,100,-67,35
18,-80,-67,100,100,-89,-71,100,100,100,100,100,100,-79,-78,-87,100,-89,-86,100,100,100,100,100,100,-58,35
19,-80,-74,100,100,-89,-69,100,100,-95,100,100,100,-85,-78,-87,100,-89,100,100,100,100,100,100,100,-62,35
